"","fuel_type","separate_kitchen","window","total","stunting","stunting_rate"
"5","Crop Residue",0,0,1007,546,0.542204568023833
"6","Crop Residue",0,1,983,466,0.474059003051882
"7","Crop Residue",1,0,167,81,0.48502994011976
"8","Crop Residue",1,1,460,173,0.376086956521739
"9","Dung",0,0,1302,726,0.557603686635945
"10","Dung",0,1,1500,696,0.464
"11","Dung",1,0,349,171,0.489971346704871
"12","Dung",1,1,593,225,0.379426644182125
"21","Wood",0,0,5926,3022,0.509956125548431
"22","Wood",0,1,6434,2642,0.410631022691949
"23","Wood",1,0,2256,1063,0.471187943262411
"24","Wood",1,1,5252,1983,0.377570449352628
"13","Crop Residue",-1,-1,2617,1266,0.483760030569354
"14","Wood",-1,-1,19868,8710,0.438393396416348
"15","Dung",-1,-1,3744,1818,0.485576923076923
